SIN-DECLARAR	repl	agent	135
SIN-DECLARAR	repl	config	129
SIN-DECLARAR	repl	local-observability	99
SIN-DECLARAR	repl	tool-registry	75
SIN-DECLARAR	repl	ink	58
SIN-DECLARAR	repl	app-host	55
SIN-DECLARAR	tool-registry	swarm	47
SIN-DECLARAR	repl	storage	45
SIN-DECLARAR	repl	command-runtime	45
SIN-DECLARAR	permission	tool-registry	42
SIN-DECLARAR	cli	tool-registry	41
RAIZ	ROOT:tests	config	35
RAIZ	ROOT:tests	app-host	34
SIN-DECLARAR	app-host	repl	33
SIN-DECLARAR	repl	swarm	32
SIN-DECLARAR	command-runtime	tool-registry	31
SIN-DECLARAR	cli	storage	31
SIN-DECLARAR	cli	repl	31
SIN-DECLARAR	repl	provider	29
SIN-DECLARAR	app-host	provider	26
SIN-DECLARAR	repl	shell	25
SIN-DECLARAR	app-host	tool-registry	24
SIN-DECLARAR	repl	permission	23
RAIZ	ROOT:tests	agent	22
SIN-DECLARAR	repl	output	21
SIN-DECLARAR	provider	tool-registry	20
SIN-DECLARAR	provider	app-host	18
SIN-DECLARAR	agent	repl	18
RAIZ	ROOT:tests	provider	18
SIN-DECLARAR	computer-use-mcp	local-observability	16
SIN-DECLARAR	mcp-runtime	tool-registry	15
SIN-DECLARAR	cli	shell	15
SIN-DECLARAR	tool-registry	repl	14
RAIZ	ROOT:tests	tool-registry	14
RAIZ	ROOT:tests	output	13
SIN-DECLARAR	cli	command-runtime	12
SIN-DECLARAR	agent	headless-sdk	12
RAIZ	ROOT:tests	storage	12
SIN-DECLARAR	repl	server	11
SIN-DECLARAR	command-runtime	repl	11
SIN-DECLARAR	cli	server	10
SIN-DECLARAR	tool-registry	memory	9
RAIZ	ROOT:tests	repl	9
DECL-ENLAZADO	tool-registry	agent	8
SIN-DECLARAR	swarm	local-observability	8
SIN-DECLARAR	repl	mcp-runtime	8
SIN-DECLARAR	computer-use-mcp	config	8
DECL-ENLAZADO	cli	mcp-runtime	8
SIN-DECLARAR	swarm	config	7
SIN-DECLARAR	repl	ide	7
SIN-DECLARAR	repl	cli	7
SIN-DECLARAR	cli	swarm	7
SIN-DECLARAR	cli	daemon	7
DECL-ENLAZADO	cli	config	7
SIN-DECLARAR	tool-registry	ide	6
SIN-DECLARAR	repl	headless-sdk	6
SIN-DECLARAR	mcp-runtime	command-runtime	6
RAIZ	ROOT:tests	mcp-runtime	6
SIN-DECLARAR	tool-registry	voice	5
SIN-DECLARAR	shell	agent	5
SIN-DECLARAR	repl	teleport	5
SIN-DECLARAR	provider	teleport	5
SIN-DECLARAR	ink	repl	5
SIN-DECLARAR	command-runtime	voice	5
SIN-DECLARAR	command-runtime	output	5
SIN-DECLARAR	command-runtime	memory	5
SIN-DECLARAR	cli	memory	5
SIN-DECLARAR	app-host	swarm	5
SIN-DECLARAR	app-host	cli	5
SIN-DECLARAR	swarm	repl	4
SIN-DECLARAR	swarm	command-runtime	4
SIN-DECLARAR	swarm	app-host	4
SIN-DECLARAR	shell	repl	4
SIN-DECLARAR	shell	permission	4
SIN-DECLARAR	repl	updater	4
SIN-DECLARAR	provider	permission	4
SIN-DECLARAR	permission	shell	4
SIN-DECLARAR	output	local-observability	4
SIN-DECLARAR	config	command-runtime	4
SIN-DECLARAR	command-runtime	bridge	4
SIN-DECLARAR	cli	output	4
SIN-DECLARAR	cli	bridge	4
SIN-DECLARAR	app-host	mcp-runtime	4
RAIZ	ROOT:tests	local-observability	4
DECL-ENLAZADO	tool-registry	config	3
SIN-DECLARAR	tool-registry	bridge	3
SIN-DECLARAR	swarm	provider	3
SIN-DECLARAR	shell	provider	3
SIN-DECLARAR	repl	memory	3
SIN-DECLARAR	provider	mcp-runtime	3
SIN-DECLARAR	provider	command-runtime	3
SIN-DECLARAR	permission	mcp-runtime	3
SIN-DECLARAR	ink	output	3
SIN-DECLARAR	computer-use-mcp	mcp-runtime	3
SIN-DECLARAR	command-runtime	swarm	3
DECL-ENLAZADO	cli	agent	3
SIN-DECLARAR	agent	teleport	3
SIN-DECLARAR	agent	swarm	3
SIN-DECLARAR	agent	mcp-runtime	3
SIN-DECLARAR	agent	daemon	3
RAIZ	ROOT:tests	swarm	3
SIN-DECLARAR	swarm	shell	2
SIN-DECLARAR	swarm	permission	2
SIN-DECLARAR	shell	output	2
DECL-ENLAZADO	shell	config	2
SIN-DECLARAR	repl	image-processor-napi	2
SIN-DECLARAR	repl	bridge	2
SIN-DECLARAR	output	storage	2
SIN-DECLARAR	output	config	2
SIN-DECLARAR	output	app-host	2
SIN-DECLARAR	mcp-runtime	repl	2
DECL-ENLAZADO	mcp-runtime	config	2
SIN-DECLARAR	daemon	agent	2
SIN-DECLARAR	config	output	2
SIN-DECLARAR	config	memory	2
SIN-DECLARAR	computer-use-swift	computer-use-mcp	2
SIN-DECLARAR	computer-use-mcp	app-host	2
SIN-DECLARAR	bridge	cli	2
SIN-DECLARAR	app-host	bridge	2
SIN-DECLARAR	agent	ide	2
SIN-DECLARAR	tool-registry	teleport	1
SIN-DECLARAR	swarm	output	1
SIN-DECLARAR	swarm	headless-sdk	1
DECL-ENLAZADO	swarm	agent	1
SIN-DECLARAR	storage	cli	1
SIN-DECLARAR	shell	command-runtime	1
SIN-DECLARAR	repl	url-handler-napi	1
SIN-DECLARAR	repl	color-diff-napi	1
SIN-DECLARAR	permission	swarm	1
SIN-DECLARAR	permission	repl	1
SIN-DECLARAR	permission	output	1
SIN-DECLARAR	permission	command-runtime	1
SIN-DECLARAR	permission	bridge	1
SIN-DECLARAR	output	repl	1
SIN-DECLARAR	output	agent	1
SIN-DECLARAR	mcp-runtime	ide	1
SIN-DECLARAR	mcp-runtime	cli	1
DECL-ENLAZADO	mcp-runtime	agent	1
SIN-DECLARAR	ink	local-observability	1
SIN-DECLARAR	ide	permission	1
SIN-DECLARAR	config	updater	1
SIN-DECLARAR	config	permission	1
SIN-DECLARAR	config	bridge	1
SIN-DECLARAR	computer-use-mcp	tool-registry	1
SIN-DECLARAR	computer-use-mcp	shell	1
SIN-DECLARAR	computer-use-mcp	provider	1
SIN-DECLARAR	computer-use-mcp	computer-use-swift	1
SIN-DECLARAR	computer-use-mcp	computer-use-input	1
SIN-DECLARAR	command-runtime	teleport	1
SIN-DECLARAR	command-runtime	mcp-runtime	1
SIN-DECLARAR	command-runtime	ide	1
DECL-ENLAZADO	command-runtime	config	1
DECL-ENLAZADO	command-runtime	agent	1
SIN-DECLARAR	cli	updater	1
SIN-DECLARAR	cli	teleport	1
DECL-ENLAZADO	cli	provider	1
SIN-DECLARAR	app-host	teleport	1
SIN-DECLARAR	app-host	server	1
SIN-DECLARAR	app-host	ide	1
SIN-DECLARAR	app-host	headless-sdk	1
DECL-ENLAZADO	app-host	command-runtime	1
DECL-ENLAZADO	app-host	agent	1
SIN-DECLARAR	agent	updater	1
DECL-ENLAZADO	agent	tool-registry	1
SIN-DECLARAR	agent	output	1
DECL-ENLAZADO	agent	config	1
RAIZ	ROOT:tests	headless-sdk	1
RAIZ	ROOT:tests	command-runtime	1
