tipo	false	AgentDefinition	@thyrox/config <- @thyrox/tools
tipo	false	ScopedLspServerConfig	@thyrox/config <- @thyrox/ide
tipo	true	AgentColorName	@thyrox/config <- @thyrox/tool-registry
tipo	true	AgentDefinitionsResult	@thyrox/config <- @thyrox/tool-registry
tipo	true	AppState	@thyrox/config <- @thyrox/tool-registry
tipo	true	AppStateStore	@thyrox/repl <- @thyrox/app-host
tipo	true	Command	@thyrox/mcp-runtime <- @thyrox/command-runtime
tipo	true	HeadlessStoreParams	@thyrox/cli <- @thyrox/agent
tipo	true	PromptRequest	@thyrox/agent <- @thyrox/headless-sdk
tipo	true	PromptResponse	@thyrox/agent <- @thyrox/headless-sdk
tipo	true	Tool	@thyrox/mcp-runtime <- @thyrox/tool-registry
valor	false	generateSessionTitle	@thyrox/agent <- @thyrox/bridge
valor	true	claimTask	@thyrox/agent <- @thyrox/swarm
valor	true	compactConversation	@thyrox/agent <- @thyrox/swarm
valor	true	createPermissionRequestMessage	@thyrox/permission <- @thyrox/swarm
valor	true	getAssistantMessageText	@thyrox/agent <- @thyrox/daemon
valor	true	getModelMaxOutputTokens	@thyrox/agent <- @thyrox/provider
valor	true	getOrCreateUserID	@thyrox/config <- @thyrox/local-observability
valor	true	getPatchFromContents	@thyrox/agent <- @thyrox/ide
valor	true	getSystemPrompt	@thyrox/agent <- @thyrox/swarm
valor	true	hasPermissionsToUseTool	@thyrox/permission <- @thyrox/swarm
valor	true	hasPermissionsToUseTool	@thyrox/permission <- @thyrox/swarm
valor	true	modelSupportsEffort	@thyrox/agent <- @thyrox/provider
valor	true	resetSentSkillNames	@thyrox/agent <- @thyrox/config
valor	true	writeToStderr	@thyrox/shell <- @thyrox/local-observability
valor	true	writeToStdout	@thyrox/shell <- @thyrox/config
