TS1064	1
TS1230	1
TS1354	1
TS1360	13
TS18046	1252
TS18047	9
TS18048	272
TS2304	1
TS2305	1167
TS2307	1159
TS2315	6
TS2322	401
TS2328	1
TS2339	477
TS2344	23
TS2345	581
TS2349	40
TS2352	29
TS2353	27
TS2355	1
TS2366	10
TS2367	15
TS2416	5
TS2459	3
TS2464	1
TS2488	6
TS2493	8
TS2504	1
TS2532	163
TS2536	1
TS2538	13
TS2551	5
TS2552	1
TS2554	79
TS2556	2
TS2558	1
TS2559	2
TS2571	28
TS2578	16
TS2614	2
TS2638	3
TS2677	2
TS2678	1
TS2693	2
TS2694	1
TS2698	196
TS2703	10
TS2722	5
TS2724	63
TS2739	4
TS2740	5
TS2741	18
TS2769	72
TS2783	2
TS6133	420
TS6138	1
TS6192	10
TS6196	64
TS7006	775
TS7016	38
TS7019	1
TS7022	1
TS7031	22
TS7053	52
