dirname-propio	src/agents/agent_store.py	76	os.path.dirname(os.path.abspath(__file__))
dirname-propio	src/agents/agent_store.py	94	str(Path(__file__).resolve().parent)
otro	src/agents/agent_store.py	96	str(agents_paths.CORPUS_DIR)
otro	src/agents/agent_store.py	111	str(agents_paths.PATHS_DIR)
otro	src/agents/agent_store.py	120	str(agents_paths.THYROX_ROOT / 'src' / 'task')
otro	src/agents/agent_store.py	128	str(agents_paths.THYROX_ROOT / 'src' / 'measurement')
otro	src/agents/agents_paths.py	52	str(PATHS_DIR)
dirname-propio	src/agents/anonymize_transcript.py	76	str(pathlib.Path(__file__).resolve().parent)
dirname-propio	src/agents/backfill_agent_sessions.py	68	str(Path(__file__).resolve().parent)
dirname-propio	src/agents/drain_spool.py	45	str(Path(__file__).resolve().parent)
otro	src/agents/drain_spool.py	86	str(hooks)
dirname-propio	src/agents/fix_agent_frontmatter.py	20	str(Path(__file__).resolve().parent)
parents1	src/agents/model_catalog.py	40	str(Path(__file__).resolve().parents[1])
dirname-propio	src/agents/reconcile_store.py	49	str(Path(__file__).resolve().parent)
dirname-propio	src/agents/register_session.py	48	str(Path(__file__).resolve().parent)
parents1	src/agents/register_session.py	44	str(Path(__file__).resolve().parents[1])
parents1	src/cache/paths.py	20	str(pathlib.Path(__file__).resolve().parents[1])
parents1	src/corpus/archive_build_corpus.py	54	str(pathlib.Path(__file__).resolve().parents[1])
otro	src/corpus/backfill_findings_history.py	53	str(HERE.parent / 'paths')
parents1	src/corpus/census_counterparts.py	31	str(pathlib.Path(__file__).resolve().parents[1])
dirname-propio	src/corpus/census_scripts.py	34	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
parents1-subdir	src/corpus/convert_broken_references.py	19	str(Path(__file__).resolve().parents[1] / 'verify')
parents1	src/corpus/list_corpus_builds.py	42	str(pathlib.Path(__file__).resolve().parents[1])
otro	src/docs/citations.py	49	str(_ROOT / 'src')
parents1	src/docs/initiative_placement.py	58	str(pathlib.Path(__file__).resolve().parents[1])
parents1	src/docs/initiative_placement.py	264	str(pathlib.Path(__file__).resolve().parents[1])
parents1	src/docs/scaffold_initiative.py	47	str(pathlib.Path(__file__).resolve().parents[1])
dirname-propio	src/hallazgo/census_findings.py	44	str(pathlib.Path(__file__).resolve().parent.parent / 'verify')
otro	src/hallazgo/hallazgo_ids.py	76	str(HERE.parent / 'paths')
parents1-subdir	src/hooks/bridge_hooks.py	74	str(pathlib.Path(__file__).resolve().parents[1] / 'paths')
parents1	src/hooks/detect_finding_layer.py	23	str(pathlib.Path(__file__).resolve().parents[1])
parents1	src/hooks/detect_prose_vocabulary.py	29	str(pathlib.Path(__file__).resolve().parents[1])
dirname-propio	src/hooks/detect_rst_validation.py	30	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
parents1	src/hooks/detect_topic_duplication.py	75	str(pathlib.Path(__file__).resolve().parents[1])
parents1	src/hooks/error_log.py	97	str(Path(__file__).resolve().parents[1])
parents1	src/hooks/maintenance_chain.py	68	str(Path(__file__).resolve().parents[1])
parents1	src/hooks/stop_gate.py	122	str(Path(__file__).resolve().parents[1])
