verifier	59	542	talks/berkeley-llm-agents/sp25/lecture12/lecture12-notes.tex	62
curriculum	31	167	cs25-v6/lecture05/lecture05-notes.tex	21
calibration	51	125	cs25/lecture35/lecture35-notes.tex	10
self_debug_oracle	34	110	talks/berkeley-llm-agents/f25/lecture04/lecture04-notes.tex	24
self_consistency	14	101	cs25/lecture13/lecture13-notes.tex	27
swe_bench	20	84	talks/berkeley-llm-agents/f24/lecture07/lecture07-notes.tex	20
tree_search	21	82	cs329a/lecture05/lecture05-notes.tex	21
pass_at_k	17	59	cs25/lecture02/lecture02-notes.tex	19
test_time_compute	26	58	6s191/lecture08/lecture08-notes.tex	8
process_reward	14	52	cs329a/lecture03/lecture03-notes.tex	16
error_taxonomy	31	44	cs25/lecture16/lecture16-notes.tex	4
bandit_ucb_thompson	7	38	cs224r/lecture14/lecture14-notes.tex	26
rejection_sampling	12	25	cs224n/lecture15/lecture15-notes.tex	4
best_of_n	7	16	talks/berkeley-llm-agents/f25/lecture06/lecture06-notes.tex	6
speculative_decoding	7	14	cs25-v6/lecture09/lecture09-notes.tex	6
weak_verifier_ensemble	1	2	cs329a/lecture03/lecture03-notes.tex	2
bisect	1	1	cs25-v6/lecture02/lecture02-notes.tex	1
label_smoothing	1	1	cs336-2026/lecture15/lecture15-notes.tex	1
