@ant/computer-use-mcp	@ant/computer-use-input	1
@ant/computer-use-mcp	@ant/computer-use-swift	1
@ant/computer-use-mcp	@anthropic/ink	1
@ant/computer-use-swift	@ant/computer-use-mcp	2
agent	@ant/claude-for-chrome-mcp	2
agent	@anthropic/ink	7
app-host	@anthropic/ink	5
cli	@ant/computer-use-mcp	1
cli	@anthropic/ink	10
command-runtime	@ant/claude-for-chrome-mcp	1
command-runtime	@anthropic/ink	102
command-runtime	@thyrox/cli	2
command-runtime	@thyrox/updater	1
computer-use-mcp	@thyrox/ink	1
computer-use-mcp	@thyrox/output	1
computer-use-mcp	@thyrox/permission	1
computer-use-mcp	@thyrox/repl	1
config	@anthropic/ink	2
config	@thyrox/repl	2
mcp-runtime	@ant/claude-for-chrome-mcp	1
mcp-runtime	@ant/computer-use-mcp	5
output	@anthropic/ink	13
output	@thyrox/tool-registry	1
permission	@ant/computer-use-mcp	3
permission	@anthropic/ink	75
permission	@thyrox/ide	4
provider	@anthropic/ink	1
provider	@thyrox/bridge	1
provider	@thyrox/repl	1
repl	@thyrox/voice	11
shell	@anthropic/ink	1
swarm	@anthropic/ink	3
tool-registry	@anthropic/ink	53
