getAttachments	817	1085
maybe	1086	1124
getQueuedCommandAttachments	1127	1165
getAgentPendingMessageAttachments	1166	1183
buildImageContentBlocks	1184	1211
getPlanModeAttachmentTurnCount	1212	1249
countPlanModeAttachmentsSinceLastExit	1250	1266
getPlanModeAttachments	1267	1328
getPlanModeExitAttachment	1329	1355
getAutoModeAttachmentTurnCount	1356	1399
countAutoModeAttachmentsSinceLastExit	1400	1415
getAutoModeAttachments	1416	1460
getAutoModeExitAttachment	1461	1495
getDateChangeAttachments	1496	1526
getUltrathinkEffortAttachment	1527	1547
getUltraworkRequestAttachment	1548	1556
getDeferredToolsDeltaAttachment	1557	1591
getAgentListingDeltaAttachment	1592	1660
getMcpInstructionsDeltaAttachment	1661	1688
getCriticalSystemReminderAttachment	1689	1698
getOutputStyleAttachment	1699	1715
getSelectedLinesFromIDE	1716	1757
getDirectoriesToProcess	1758	1799
isInstructionsMemoryType	1800	1811
memoryFilesToAttachments	1812	1893
getNestedMemoryAttachmentsForFile	1894	1965
getOpenedFileFromIDE	1966	1995
processAtMentionedFiles	1996	2066
processAgentMentions	2067	2095
processMcpResourceAttachments	2096	2163
getChangedFiles	2164	2267
getNestedMemoryAttachments	2268	2296
getRelevantMemoryAttachments	2297	2351
collectSurfacedMemories	2352	2379
readMemoriesForSurfacing	2380	2427
memoryHeader	2428	2446
startRelevantMemoryPrefetch	2462	2526
isToolResultBlock	2533	2547
hasToolResultContent	2548	2565
collectRecentSuccessfulTools	2566	2620
filterDuplicateMemoryAttachments	2621	2647
getDynamicSkillAttachments	2648	2707
resetSentSkillNames	2713	2733
suppressNextSkillListing	2734	2741
filterToBundledAndMcp	2752	2761
getSkillListingAttachments	2762	2857
extractAtMentionedFiles	2858	2892
extractMcpResourceMentions	2893	2902
extractAgentMentions	2903	2930
parseAtMentionedFileLines	2937	2954
getDiagnosticAttachments	2955	2983
getLSPDiagnosticAttachments	2984	3037
getAttachmentMessages	3038	3086
tryGetPDFReference	3087	3120
generateFileAttachment	3121	3301
createAttachmentMessage	3302	3312
getTodoReminderTurnCounts	3313	3366
getTodoReminderAttachments	3367	3419
getTaskReminderTurnCounts	3420	3475
getTaskReminderAttachments	3476	3539
getUnifiedTaskAttachments	3540	3564
getAsyncHookResponseAttachments	3565	3633
getTokenUsageAttachment	3634	3654
getOutputTokenUsageAttachment	3655	3672
getMaxBudgetUsdAttachment	3673	3698
getVerifyPlanReminderTurnCount	3699	3720
getVerifyPlanReminderAttachment	3721	3757
getCompactionReminderAttachment	3758	3789
getContextEfficiencyAttachment	3790	3812
isFileReadDenied	3813	3824
