TOOL_HOOK_EXECUTION_TIMEOUT_MS	local	AUSENTE
SESSION_END_HOOK_TIMEOUT_MS_DEFAULT	local	presente
getSessionEndHookTimeoutMs	export	presente
executeInBackground	local	AUSENTE
shouldSkipHookDueToTrust	export	AUSENTE
createBaseHookInput	export	presente
HookBlockingError	export	presente
ElicitationResponse	export	AUSENTE
HookResult	export	presente
AggregatedHookResult	export	presente
validateHookJson	local	AUSENTE
parseHookOutput	local	AUSENTE
parseHttpHookOutput	local	AUSENTE
TypedSyncHookOutput	local	AUSENTE
processHookJSONOutput	local	AUSENTE
execCommandHook	local	AUSENTE
matchesPattern	local	AUSENTE
IfConditionMatcher	local	AUSENTE
prepareIfConditionMatcher	local	AUSENTE
FunctionHookMatcher	local	AUSENTE
MatchedHook	local	AUSENTE
isInternalHook	local	AUSENTE
hookDedupKey	local	AUSENTE
getPluginHookCounts	local	AUSENTE
getHookTypeCounts	local	AUSENTE
getHooksConfig	local	AUSENTE
hasHookForEvent	local	presente
getMatchingHooks	export	AUSENTE
getPreToolHookBlockingMessage	export	presente
getStopHookMessage	export	presente
getTeammateIdleHookMessage	export	presente
getTaskCreatedHookMessage	export	presente
getTaskCompletedHookMessage	export	presente
getUserPromptSubmitHookBlockingMessage	export	presente
executeHooks	local	presente
HookOutsideReplResult	export	presente
hasBlockingResult	export	presente
executeHooksOutsideREPL	local	presente
executePreToolHooks	export	presente
executePostToolHooks	export	presente
executePostToolUseFailureHooks	export	presente
executePostToolBatchHooks	export	presente
executeUserPromptExpansionHooks	export	presente
executePermissionDeniedHooks	export	presente
executeNotificationHooks	export	presente
executeStopFailureHooks	export	AUSENTE
executeStopHooks	export	AUSENTE
executeTeammateIdleHooks	export	AUSENTE
executeTaskCreatedHooks	export	presente
executeTaskCompletedHooks	export	presente
executeUserPromptSubmitHooks	export	presente
executeSessionStartHooks	export	AUSENTE
executeSetupHooks	export	AUSENTE
executeSubagentStartHooks	export	presente
executePreCompactHooks	export	presente
executePostCompactHooks	export	AUSENTE
executeSessionEndHooks	export	presente
executePermissionRequestHooks	export	presente
ConfigChangeSource	export	AUSENTE
executeConfigChangeHooks	export	presente
executeEnvHooks	local	AUSENTE
executeCwdChangedHooks	export	presente
executeFileChangedHooks	export	presente
InstructionsLoadReason	export	AUSENTE
InstructionsMemoryType	export	AUSENTE
hasInstructionsLoadedHook	export	AUSENTE
executeInstructionsLoadedHooks	export	AUSENTE
ElicitationHookResult	export	AUSENTE
ElicitationResultHookResult	export	AUSENTE
parseElicitationHookOutput	local	AUSENTE
executeElicitationHooks	export	AUSENTE
executeElicitationResultHooks	export	AUSENTE
executeStatusLineCommand	export	presente
executeFileSuggestionCommand	export	presente
executeFunctionHook	local	AUSENTE
executeHookCallback	local	AUSENTE
hasWorktreeCreateHook	export	presente
executeWorktreeCreateHook	export	presente
executeWorktreeRemoveHook	export	presente
getHookDefinitionsForTelemetry	local	AUSENTE
